Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss
1,0.8088179230690002,0.8248860239982605,0.6722643971443176,0.6290789842605591
2,0.8237814903259277,0.8248860239982605,0.6203693151473999,0.6077627539634705
3,0.8235347867012024,0.8251882791519165,0.6012009382247925,0.5788248777389526
4,0.8245368599891663,0.8316468596458435,0.5710318088531494,0.5500478148460388
5,0.8331217765808105,0.8445845246315002,0.5256850123405457,0.4929034113883972
6,0.8401991724967957,0.8521746397018433,0.49288296699523926,0.45939773321151733
7,0.8470197916030884,0.8567129373550415,0.4623660147190094,0.4330730438232422
8,0.8518033623695374,0.8614425659179688,0.4390810430049896,0.4184383153915405
9,0.857342004776001,0.8663834929466248,0.4165388345718384,0.4007435441017151
10,0.8637678623199463,0.8746325969696045,0.3948275148868561,0.3716563582420349
11,0.869250476360321,0.8808018565177917,0.3768579065799713,0.3477705121040344
12,0.8735817074775696,0.8809608817100525,0.363214373588562,0.34551626443862915
13,0.8781730532646179,0.887844979763031,0.34785714745521545,0.323894202709198
14,0.8811631202697754,0.888283371925354,0.33886483311653137,0.32041358947753906
15,0.8833344578742981,0.889165997505188,0.33095210790634155,0.31980448961257935
16,0.8877106308937073,0.8949185609817505,0.31628987193107605,0.3030654191970825
17,0.8905397057533264,0.8956785798072815,0.30766358971595764,0.29752177000045776
18,0.8927929401397705,0.8964104056358337,0.30021363496780396,0.293637752532959
19,0.8949519395828247,0.8974157571792603,0.292243093252182,0.28823354840278625
20,0.8968148827552795,0.9011271595954895,0.2857743203639984,0.27479615807533264
21,0.8982819318771362,0.903891921043396,0.27991393208503723,0.2698158621788025
22,0.9008346796035767,0.9053444266319275,0.2734483778476715,0.2630755305290222
23,0.9024192094802856,0.9069249033927917,0.267092227935791,0.2578861117362976
24,0.9023798704147339,0.9018132090568542,0.26769837737083435,0.26782023906707764
25,0.9032835960388184,0.9047446846961975,0.2631951868534088,0.2632973790168762
26,0.9051482081413269,0.9087741374969482,0.25835156440734863,0.24972352385520935
27,0.9068148732185364,0.907545804977417,0.25293588638305664,0.25664451718330383
28,0.9080713391304016,0.910311758518219,0.24856148660182953,0.24967552721500397
29,0.9090684652328491,0.9124122262001038,0.2451387643814087,0.24072016775608063
30,0.9102705121040344,0.9137972593307495,0.24196338653564453,0.2372383326292038
