Epoch,Accuracy,Loss
1,0.14285714285714285,0.19460918009281158
2,0.14285714285714285,0.194589301943779
3,0.14285714285714285,0.1946081817150116
4,0.14285714285714285,0.194590762257576
5,0.14285714285714285,0.1945650428533554
6,0.14285714285714285,0.19457148015499115
7,0.14285714285714285,0.19457058608531952
8,0.14285714285714285,0.1945590227842331
9,0.14285714285714285,0.19457794725894928
10,0.14285714285714285,0.19455645978450775
11,0.1357142857142857,0.19457964599132538
12,0.15,0.19457440078258514
13,0.14285714285714285,0.1945243924856186
14,0.15714285714285714,0.1945488303899765
15,0.14285714285714285,0.19457456469535828
16,0.19285714285714287,0.19452911615371704
17,0.15,0.19453315436840057
18,0.17857142857142858,0.19452059268951416
19,0.10714285714285714,0.19452624022960663
20,0.18571428571428572,0.19453643262386322
21,0.18571428571428572,0.19448141753673553
22,0.15,0.19453857839107513
23,0.17857142857142858,0.1944688856601715
24,0.17142857142857143,0.19449029862880707
25,0.19285714285714287,0.19448645412921906
26,0.18571428571428572,0.1944214552640915
27,0.17142857142857143,0.19454264640808105
28,0.15714285714285714,0.19450028240680695
29,0.18571428571428572,0.1943792700767517
30,0.11428571428571428,0.19456669688224792
31,0.17857142857142858,0.19433961808681488
32,0.12142857142857143,0.19442538917064667
33,0.16428571428571428,0.1945296674966812
34,0.14285714285714285,0.19441886246204376
35,0.14285714285714285,0.19433917105197906
36,0.15714285714285714,0.19456052780151367
37,0.15,0.19445690512657166
38,0.15714285714285714,0.19420884549617767
39,0.15,0.19464011490345
40,0.16428571428571428,0.19438160955905914
41,0.11428571428571428,0.19464735686779022
42,0.18571428571428572,0.19440431892871857
43,0.16428571428571428,0.19427095353603363
44,0.15714285714285714,0.194411501288414
45,0.18571428571428572,0.19409580528736115
46,0.18571428571428572,0.19426293671131134
47,0.17857142857142858,0.19444820284843445
48,0.17142857142857143,0.19426797330379486
49,0.19285714285714287,0.1939634382724762
50,0.2,0.1940181851387024
51,0.15,0.1944490373134613
52,0.17857142857142858,0.1940927803516388
53,0.15714285714285714,0.1938793808221817
54,0.21428571428571427,0.19390270113945007
55,0.18571428571428572,0.19376583397388458
56,0.24285714285714285,0.19330152869224548
57,0.2,0.19383357465267181
58,0.21428571428571427,0.1932676136493683
59,0.22857142857142856,0.19315217435359955
60,0.22142857142857142,0.1935592144727707
61,0.21428571428571427,0.19287225604057312
62,0.20714285714285716,0.19340120255947113
63,0.2642857142857143,0.1924707293510437
64,0.2571428571428571,0.1923539787530899
65,0.2785714285714286,0.19186429679393768
66,0.2571428571428571,0.1913267970085144
67,0.2357142857142857,0.19134221971035004
68,0.2642857142857143,0.1906992495059967
69,0.2642857142857143,0.19028602540493011
70,0.2571428571428571,0.19000110030174255
71,0.2714285714285714,0.18966053426265717
72,0.2785714285714286,0.18947003781795502
73,0.2714285714285714,0.18792472779750824
74,0.2785714285714286,0.1874636858701706
75,0.2714285714285714,0.18772736191749573
76,0.2785714285714286,0.18668746948242188
77,0.2714285714285714,0.18640586733818054
78,0.2714285714285714,0.18555086851119995
79,0.2785714285714286,0.18606114387512207
80,0.2642857142857143,0.18611647188663483
81,0.2785714285714286,0.18370725214481354
82,0.2785714285714286,0.18417426943778992
83,0.2857142857142857,0.18446408212184906
84,0.2857142857142857,0.18348872661590576
85,0.2857142857142857,0.18451020121574402
86,0.2857142857142857,0.1836976408958435
87,0.2714285714285714,0.18214622139930725
88,0.2857142857142857,0.18234537541866302
89,0.2857142857142857,0.18153958022594452
90,0.2857142857142857,0.18284864723682404
91,0.2857142857142857,0.18283455073833466
92,0.2857142857142857,0.17931118607521057
93,0.2857142857142857,0.18135561048984528
94,0.3,0.18077723681926727
95,0.2857142857142857,0.18045352399349213
96,0.3,0.18147848546504974
97,0.29285714285714287,0.180568128824234
98,0.30714285714285716,0.18038414418697357
99,0.2857142857142857,0.17870865762233734
100,0.3142857142857143,0.17834854125976562
101,0.3357142857142857,0.17893770337104797
102,0.3,0.17936979234218597
103,0.3142857142857143,0.1801743060350418
104,0.30714285714285716,0.1790037900209427
105,0.30714285714285716,0.1790475696325302
106,0.32857142857142857,0.17962928116321564
107,0.3357142857142857,0.17743611335754395
108,0.32857142857142857,0.18000981211662292
109,0.32857142857142857,0.17763923108577728
110,0.3357142857142857,0.1785673201084137
